Opportunity ID,Opportunity,Market Risk,Product Risk,Competition Risk,CAC Risk,Retention Risk,Technical Risk,Regulatory Risk,Platform Dependency,Localization Risk,Cash Flow Risk,Founder Dependency,Overall Risk /10,Mitigation
SAAS-001,Receivables exception desk for industrial distributors,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Incumbents already handle disputes and exceptions; local workflow advantage must beat a configured incumbent. No WhatsApp dependency,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-005,AI-assisted wholesale order intake,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,ERP integration and unit-of-measure errors; higher MVP cost,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,7,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-003,Freight proof-of-delivery to invoice exceptions,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,TMS vendors already bundle POD and invoicing,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-002,HVAC maintenance proof-to-invoice,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Mobile adoption and strong localized field-service competition,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-004,Subcontractor variation approval and billing evidence,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Contract-specific approval and adversarial buyer incentives,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-006,Evidence-linked tender response workspace,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,AI drafting already common; irregular tender frequency,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-007,Agency scope and margin leakage monitor,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Productive and Scoro already offer profitability reporting,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-009,Private-school fee reconciliation,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Local competitors; annual sales windows; children data,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,6,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-008,Clinic cancellation refill and attendance desk,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Sensitive data even without clinical notes; bundled scheduling,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,7,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
SAAS-010,Food-factory preventive-maintenance evidence,Niche buyer count and paid demand UNKNOWN,Workflow/data quality and adoption,Excellent incumbents; implementation-heavy; no downtime guarantees,"CAC modeled, never observed",Logo churn unobserved; bundling may remove value,"Imports, access controls and integration drift",Local legal review; CNDP/GDPR where applicable,No core WhatsApp collection dependency for001; no scraped/private APIs,Translation alone is not differentiation,Pilot receipts and prepayment; monitor own overdue AR,Founder selling and onboarding concentration,7,Paid pilots; 1 ICP/1 export; exception-specific ROI; human approvals; backups; exportable data
