Opportunity ID,Rank,Opportunity,Moroccan Industry,Target Customer,Company Size,Main Moroccan Problem,Current Solution,Localization Advantage,Arabic Need,French Need,Darija Opportunity,WhatsApp Opportunity,Local Payment Need,MAD Pricing Potential,Monthly WTP,High-Ticket Potential,Local Competition,International Competition,Advertising Potential,Sales Potential,Retention Potential,Market Size Signal,Overall Score
SAAS-001,1,Receivables exception desk for industrial distributors,Accounts receivable,Industrial distributors; 10–75 staff; 200+ credit invoices/month,10–75 staff,"Disputed invoices, missing delivery documents and broken payment promises delay cash",HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD1750–3750/month,8,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,7,7,9,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],80.6
SAAS-005,2,AI-assisted wholesale order intake,Wholesale order operations,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,20–150 staff,Email and PDF orders rekeyed with SKU and unit errors,HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD4200–9000/month,9,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,6,6,9,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],80.5
SAAS-003,3,Freight proof-of-delivery to invoice exceptions,Logistics and transport,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,10–75 vehicles,Missing PODs prevent accepted invoices,HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD2450–5250/month,8,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,6,7,9,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],79.4
SAAS-002,4,HVAC maintenance proof-to-invoice,Field services,Commercial HVAC contractors; 5–30 technicians; recurring service contracts,5–30 technicians,Completed jobs lack signed evidence and remain unbilled,HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD1400–3000/month,7,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,8,7,9,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],79.1
SAAS-004,5,Subcontractor variation approval and billing evidence,Construction,MEP subcontractors; 10–100 staff; 3+ simultaneous projects,10–100 staff,Unapproved variations and weak evidence cause margin leakage,HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD2450–5250/month,9,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,8,7,8,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],78.8
SAAS-006,6,Evidence-linked tender response workspace,RFP and bid management,Engineering/IT suppliers; 20–150 staff; 2+ bids/month,20–150 staff,Repeated questionnaires consume senior staff time,HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD3150–6750/month,9,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,7,6,8,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],76.0
SAAS-007,7,Agency scope and margin leakage monitor,Agency professional services,Retainer agencies; 10–50 staff; 15+ active retainers,10–50 staff,Scope creep hides loss-making accounts,HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD1260–2700/month,6,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,7,7,8,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],75.3
SAAS-009,8,Private-school fee reconciliation,Private school finance,Private schools; 300–1500 pupils; dedicated bursar,300–1500 pupils,"Cash, transfers and sibling payments fail to reconcile",HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD1750–3750/month,7,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,6,6,9,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],75.1
SAAS-008,9,Clinic cancellation refill and attendance desk,Healthcare administration,Physiotherapy/dental groups; 3–15 practitioners; 500+ appointments/month,3–15 practitioners,Cancellations and missed confirmations waste bookable capacity,HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD1050–2250/month,6,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,8,7,8,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],74.7
SAAS-010,10,Food-factory preventive-maintenance evidence,Manufacturing CMMS,Food processors; 30–150 staff; 1–3 sites,30–150 staff,Missed inspections and repairs create downtime and poor evidence,HYPOTHESIS: Spreadsheet + existing industry suite + email/phone; WhatsApp usage verify,"HYPOTHESIS: French onboarding, MAD invoices, local exports and exception-specific workflow",Important for customer-facing messages; role-dependent,French-first admin hypothesis,Darija onboarding/support; voice AI not MVP,Opted-in service/sales only;001 collections excluded [S04],Bank transfer pilot; PSP/acquirer eligibility validate,HYPOTHESIS: Company-level subscription; volume caps,ASSUMPTION: MAD3150–6750/month,8,Odoo/Sage integrators; schools E-Schools/Minassa; clinics DabaDoc; exhaustive list UNKNOWN,See08_COMPETITORS; do not assume poor French localization,6,5,9,Qualified Moroccan establishment count UNKNOWN; OMPIC/TIC not TAM [S05;S32],74.6
