Topic,Definition / Assumption,Status
Research date,"2026-09-15; point-in-time desk research, not commercial/technical/legal due diligence",FACT
Evidence,"FACT/VERIFIED=primary fetched statement; STRONG SIGNAL=proxy, indexed official excerpt or selected review summary; HYPOTHESIS=untested commercial proposition; ASSUMPTION=model input; UNKNOWN=not established",METHOD
Scores,"Score=sum(score_i*weight_i)/10; weights in research_data.py sum100. All scores are subjective, not success probabilities. 1-point differences not decision-grade. Winner001 competition downgraded6→5 after verifying LeanPay/Upflow disputes/exception workflows; final80.6 vs00580.5 is effectively a tie.",HYPOTHESIS
Spreadsheet calculations,"Exports contain calculated numeric snapshots, not live spreadsheet formulas. Reproduce/recalculate with python -B build_workbook.py after changing research inputs. Formulas and assumptions are documented here.",METHOD
Score direction,Requested MASTER MVP Difficulty and GLOBAL Entry Difficulty use10=EASY to match user scoring rule. Supplemental complexity and FINAL Sales Difficulty use10=HARD.,METHOD
Risk gate,BUILD NOW means execute paid validation/concierge. Payroll019 and clinical039 rejected despite recurrence; CBAM033 WATCH pending specialist access. Top15 operational shortlist=001–015; numerical master ranks remain unchanged.,METHOD
19 factors,"Advertising separate from targeting/sales; all19 requested screening dimensions provided across master and16_FACTOR_SCORES. Additional weighted Moat and CAC included. Growth is heuristic, not empirical.",METHOD
Financial FX,"USD1=MAD10; EUR1=USD1.10; planning constants, not market quotations. No tax-inclusive prices.",ASSUMPTION
ARPU,"Pricing sheet baseline is Professional plan, not forecast blended mix. Economics diligence ARPU ranges=70–150% of proposed international Pro. Morocco must be validated separately.",ASSUMPTION
LTV,"Uncapped GP LTV=monthlyARPU*grossMargin/monthlyLogoChurn. Capped proxy=monthlyGP*min(24,1/churn), deliberately rough not discounted cohort DCF. Annual retention=(1-churn)^12. No NRR equivalence.",METHOD
CAC,"Acquisition cost includes ads, outbound tools, commissions and allocated selling labor. Never sourced empirical CAC. Model team cost excludes sales labor already in CAC.",ASSUMPTION
Margins,"Steady-state gross margins include hosting, usage, payment fees and delivery support. Concierge gross margin may be30–60%; one-time onboarding and implementation excluded from recurring projections.",ASSUMPTION
Financial cadence,"New subscriptions billed full month; churn from prior-month opening customers; fractional customer counts are cohort expected values, not observed people. MRR=end active*ARPU. ARR=12*MRR run-rate, NOT recognized annual revenue.",ASSUMPTION
Financial costs,"Product Costs=150 fixed/month + variable COGS. Team includes modest product-founder/engineering/support pay, excluding acquisition labor allocated to CAC. Marketing Costs=fixed content/creative only; media included in Acquisition Cost. Net Profit=pretax operating result, not statutory net income or free cash flow.",METHOD
Demand/CPC,"No Keyword Planner account, sampled Trends series, ad library census or Similarweb subscription. No CPC, search volume, competitor ad spend or SEO strength fabricated. Channel scores are hypotheses.",UNKNOWN
Validation counts,"All zero because no landing page, outreach or paid test actually executed. No stakeholder interviews conducted. Allowed decision RETEST denotes not tested; never treat zero as poor conversion.",FACT
Privacy,"No real customer invoices or personal data used in this research. Live pilots require lawful processing, minimization, permissions and applicable transfer formalities. A European data center alone does not solve Morocco/GDPR requirements.",METHOD
Market sizing,No verified count of qualifying buyers. Require list of300 named reachable ICP accounts and pricing acceptance before bottom-up SAM. Macro company creations/tourist arrivals/WhatsApp adoption are not SaaS TAM.,UNKNOWN
Competitors,"50 identified competitors across10 ideas; official checks concentrated on lead comparators. All other prices, AI, sentiment/ad/SEO data remain explicit UNKNOWN. Countries are unverified origin hypotheses, not confirmed current HQ.",LIMITATION
Ad economics,Allowable CAC=monthly ARPU*grossMargin*target payback months. Allowable CPC=allowable media CAC*visitor-to-qualified-lead*qualified-lead-to-paid. Derived bid ceiling is NOT observed CPC.,METHOD
001 ROI,"Working-capital release is not new revenue. Example MAD10m credit sales/year *5DSO days/365=MAD136986 cash release; financing saving at10% annual=MAD1142/month; labor20h*80=MAD1600/month; total2742 before fee2500, only1.10x gross benefit.",ASSUMPTION
001 qualification,Prefer >=MAD20m credit sales/year or verified >=MAD7500 monthly benefit at2500 fee. Reminders cannot fix insolvent debtors or dominant buyers refusing to pay. Score moat6/10 intentionally modest.,HYPOTHESIS
Founder assumption,"Two full-stack engineers plus founder with French fluency and Moroccan accountant/industrial-distributor access;4–12week scopes exclude regulated system replacement. Without access, rerun ranking.",ASSUMPTION
Scenario not forecast,Conservative/base/aggressive paths are independent assumptions. No TAM-derived customer forecast or guaranteed acquisition capacity. Fund validation in stages.,ASSUMPTION
