Opportunity ID,Stage / Market,Language,Pricing,Payments,Compliance,Product,Sales,Marketing,Support,Integrations,Go / No-Go Gate
SAAS-001,1 Morocco,French admin; Arabic customer text; Darija human support,MAD; test2500 Pro for001,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Aging and missing-document queue,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; CSV first; one Sage export format; Microsoft365/Gmail later; Odoo after demand,3 unrelated pilots; legal data path before live processing
SAAS-001,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,XOF locally tested; do not simply convert MAD,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Aging and missing-document queue,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; CSV first; one Sage export format; Microsoft365/Gmail later; Odoo after demand,2 prepaid customers; qualified partner; support economics viable
SAAS-001,3 France,French; French accounting terminology,EUR;001 Pro299 hypothesis,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Aging and missing-document queue,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; CSV first; one Sage export format; Microsoft365/Gmail later; Odoo after demand,2 paid pilots; one supported connector; real competitive win
SAAS-001,4 Belgium,French first; Dutch for Flanders,EUR; price-test separately,SEPA/card through eligible PSP,GDPR; local B2B e-invoice/Peppol obligations verify by scope,Belgian entity IDs/document formats; product-specific adaptation: Aging and missing-document queue,French-speaking accounting partners first,Regional FR/NL landing pages,Bilingual support if entering Flanders,Local accounting/Peppol-capable provider; do not build access point; CSV first; one Sage export format; Microsoft365/Gmail later; Odoo after demand,Language and e-invoicing legal review complete
SAAS-001,5 Canada,French in Quebec; English elsewhere,CAD localized; not mislabeled USD,Bank debit/card via eligible entity/provider,PIPEDA/provincial law; Quebec Law25; CASL governs outreach,GST/HST/QST references when required; banking formats; product-specific adaptation: Aging and missing-document queue,Quebec accountants first,Quebec-specific workflow search,North American coverage before broad launch,QuickBooks/Xero; verify French settings and APIs; CSV first; one Sage export format; Microsoft365/Gmail later; Odoo after demand,CAD willingness-to-pay and timezone support validated
SAAS-001,6 GCC: UAE OR Saudi Arabia,English/Arabic RTL; no assumed Darija transfer,AED or SAR; higher price requires quantified ROI,Local eligible PSP/bank transfer,UAE or Saudi privacy/data rules separately; Saudi e-invoice scope separately; counsel,Country-specific VAT/entity fields; authority matrices; product-specific adaptation: Aging and missing-document queue,Local accounting/ERP reseller,Country-specific outbound; LinkedIn only at adequate ACV,Arabic/English local-hours SLA,"UAE ERP export or Saudi compliant e-invoice integration, not both at once; CSV first; one Sage export format; Microsoft365/Gmail later; Odoo after demand",Choose one country; legal/PSP/data path and2 pilots
SAAS-001,7 Wider global / USA,English; other languages only with demand,USD;001 Pro349 hypothesis,Eligible card/ACH provider; tax treatment review,State privacy/security; CAN-SPAM; licensed collection boundaries; no consumer debt,US conventions; accessible product; SOC2 only if justified; product-specific adaptation: Aging and missing-document queue,Accounting channel + targeted vertical outbound,High-intent Google test after references,Time-zone coverage costed,QuickBooks/Xero first; no50-connector promise; CSV first; one Sage export format; Microsoft365/Gmail later; Odoo after demand,Paid cohorts renew; acceptable CAC; scalable onboarding
SAAS-002,1 Morocco,French admin; Arabic customer text; Darija human support,Local price-test; Pro baseline 2000.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Bank transfer; licensed PSP only after underwriting,CNDP09-08; foreign transfers include remote support/AI; accountant reviews tax fields,Moroccan invoice IDs/payment references; no automatic legal demands; product-specific adaptation: Recurring visit scheduler,Founder + local accountant,French workflow keywords; named city/industry pages,Local business hours; defined onboarding cap,One Sage CSV; no accounting-engine replacement; CSV; email; calendar; one accounting export,3 unrelated pilots; legal data path before live processing
SAAS-002,2 Senegal OR Côte d’Ivoire,French; locally reviewed customer messages,Local price-test; Pro baseline 2000.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,Bank transfer; local licensed mobile-money/PSP partner,Country-specific privacy/tax; OHADA is not a universal software exemption,Local payment-reference and document formats; product-specific adaptation: Recurring visit scheduler,One local accounting/reseller partner,Local trade directories; one-country case study,Local partner SLA; avoid travel-dependent support,SYSCOHADA-compatible exports where relevant; chosen local ERP; CSV; email; calendar; one accounting export,2 prepaid customers; qualified partner; support economics viable
SAAS-002,3 France,French; French accounting terminology,Local price-test; Pro baseline 2000.0MAD / 249.0EUR / 299.0USD; no assumed CAD/AED equivalents,SEPA/card via eligible provider,GDPR/DPA/transfer assessment; approved e-invoice platform interface; avoid claiming platform approval,Dispute/e-invoice lifecycle and multi-entity mappings; product-specific adaptation: Recurring visit scheduler,Accountants + vertical CFO outbound,Evidence-led French search pages,French time-zone SLA; EU-hosting option not sufficient alone,Sage/Pennylane/Odoo via licensed APIs; verify access; CSV; email; calendar; one accounting export,2 paid pilots; one supported connector; real competitive win
