Opportunity ID,ICP,Industry,Company Size,Geography,Decision Maker,Buyer Role,Employee Count,Revenue Range,Main Pain,Pain Frequency,Current Workflow,Current Software,Current Cost,Desired Outcome,Purchase Trigger,Main Objection,Willingness to Pay,Where They Search,Where They Spend Time,Best Acquisition Channel
SAAS-001,Industrial distributors; 10–75 staff; 200+ credit invoices/month,Accounts receivable,10–75 staff,Morocco beachhead; wider regions conditional,Owner/CFO,Owner/CFO; accountant champion,10–75 staff,ASSUMPTION: USD1m–15m/year; Moroccan qualifying revenue differs,"Disputed invoices, missing delivery documents and broken payment promises delay cash",Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Import aged receivables → validate balances → assign exception → request missing document → record promise → reconcile cleared payment,"HYPOTHESIS: Excel/email + Chaser, Upflow, LeanPay",ASSUMPTION: USD300–2000 of attributable admin/rework; excludes invoice principal/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,Overdraft pressure; month-end backlog; lost collector,Our ERP already does reminders,ASSUMPTION: MAD2500; EUR299; USD349 per month,logiciel suivi créances grossiste; relance facture impayée,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",Accountant referrals + founder outbound
SAAS-005,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,Wholesale order operations,20–150 staff,Morocco beachhead; wider regions conditional,COO/head of customer service,COO/head of customer service; ERP manager,20–150 staff,ASSUMPTION: USD3m–40m/year; Moroccan qualifying revenue differs,Email and PDF orders rekeyed with SKU and unit errors,Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Forward PO → extract → match customer SKU/unit → human review → ERP draft order,"HYPOTHESIS: Excel/email + Conexiom, Esker, OrderEase",ASSUMPTION: USD1200–7000 labor/rework; local labor may make ROI insufficient/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,Order growth without hiring; frequent credit notes,One wrong unit or price can erase savings,ASSUMPTION: MAD6000; EUR799; USD999 per month,sales order automation distributor PDF to ERP,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",ERP implementer partnerships
SAAS-003,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,Logistics and transport,10–75 vehicles,Morocco beachhead; wider regions conditional,Carrier owner/CFO,Carrier owner/CFO; billing supervisor,10–75 vehicles,ASSUMPTION: USD1m–20m/year; Moroccan qualifying revenue differs,Missing PODs prevent accepted invoices,Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Upload POD → match shipment → flag missing proof → resolve discrepancy → export billable load,"HYPOTHESIS: Excel/email + Dashdoc, Truckbase, Rose Rocket",ASSUMPTION: USD600–4000 admin and dispute handling/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,Billing backlog; large shipper rejects invoices,Our TMS can do this,ASSUMPTION: MAD3500; EUR499; USD599 per month,proof of delivery invoicing software; facture transport CMR,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",Transport-accountant/TMS partners
SAAS-002,Commercial HVAC contractors; 5–30 technicians; recurring service contracts,Field services,5–30 technicians,Morocco beachhead; wider regions conditional,Owner/operations manager,Owner/operations manager; dispatcher champion,5–30 technicians,ASSUMPTION: USD0.5m–8m/year; Moroccan qualifying revenue differs,Completed jobs lack signed evidence and remain unbilled,Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Book recurring job → technician checklist → photos/signature → office approval → invoice-ready pack,"HYPOTHESIS: Excel/email + Jobber, Synchroteam, Praxedo",ASSUMPTION: USD400–2500 admin/revisits/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,Service-contract renewal; overdue unbilled jobs,Technicians will not use another app,ASSUMPTION: MAD2000; EUR249; USD299 per month,logiciel intervention maintenance climatisation,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",HVAC supplier partnerships
SAAS-004,MEP subcontractors; 10–100 staff; 3+ simultaneous projects,Construction,10–100 staff,UK beachhead; wider regions conditional,Managing director/commercial director,Managing director/commercial director; quantity surveyor,10–100 staff,ASSUMPTION: USD2m–30m/year; Moroccan qualifying revenue differs,Unapproved variations and weak evidence cause margin leakage,Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Record extra work → attach evidence → request approval → track status → export claim pack,"HYPOTHESIS: Excel/email + Procore, Autodesk Construction, Buildertrend",ASSUMPTION: USD800–6000 admin and unrecovered contribution risk/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,Margin surprise; rejected final account,GC will refuse another portal or extra charge,ASSUMPTION: MAD3500; EUR499; USD599 per month,construction change order software subcontractor,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",Trade-association outbound
SAAS-006,Engineering/IT suppliers; 20–150 staff; 2+ bids/month,RFP and bid management,20–150 staff,France beachhead; wider regions conditional,Bid director/sales director,Bid director/sales director; proposal manager,20–150 staff,ASSUMPTION: USD2m–30m/year; Moroccan qualifying revenue differs,Repeated questionnaires consume senior staff time,Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Import approved answers → upload tender → map requirements → draft cited response → approve → export,"HYPOTHESIS: Excel/email + Loopio, Responsive, AutoRFP.ai",ASSUMPTION: USD1000–8000 proposal labor/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,2+ bids/month; missed deadline; bid-manager vacancy,ChatGPT/Loopio already does this,ASSUMPTION: MAD4500; EUR599; USD799 per month,logiciel réponse appel offres mémoire technique,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",Bid-consultant referrals + targeted email
SAAS-007,Retainer agencies; 10–50 staff; 15+ active retainers,Agency professional services,10–50 staff,UK beachhead; wider regions conditional,Agency founder/COO,Agency founder/COO; account director,10–50 staff,ASSUMPTION: USD0.7m–8m/year; Moroccan qualifying revenue differs,Scope creep hides loss-making accounts,Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Import budgets/time → compare scope → flag retainer overrun → approve change → review margin,"HYPOTHESIS: Excel/email + Productive, Scoro, Teamwork",ASSUMPTION: USD300–2500 reporting/scope labor/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,Agency growth but cash/profit flat,Team will not log time; Productive already reports it,ASSUMPTION: MAD1800; EUR199; USD249 per month,agency retainer profitability software,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",Agency consultants + founder outbound
SAAS-009,Private schools; 300–1500 pupils; dedicated bursar,Private school finance,300–1500 pupils,Morocco beachhead; wider regions conditional,School owner/finance director,School owner/finance director; bursar,300–1500 pupils,ASSUMPTION: USD0.5m–8m/year; Moroccan qualifying revenue differs,"Cash, transfers and sibling payments fail to reconcile",Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Import fee schedule → match family receipts → review exceptions → issue receipt → statement,"HYPOTHESIS: Excel/email + Eduka, E-Schools, Minassa",ASSUMPTION: USD300–2000 reconciliation/admin/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,New school year; unexplained family balances,Our school suite already does finance,ASSUMPTION: MAD2500; EUR349; USD399 per month,logiciel paiement frais scolarité Maroc,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",School-accountant partnerships
SAAS-008,Physiotherapy/dental groups; 3–15 practitioners; 500+ appointments/month,Healthcare administration,3–15 practitioners,Morocco beachhead; wider regions conditional,Clinic owner/practice manager,Clinic owner/practice manager; reception lead,3–15 practitioners,ASSUMPTION: USD0.4m–5m/year; Moroccan qualifying revenue differs,Cancellations and missed confirmations waste bookable capacity,Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Import appointments → confirm consent → confirm/cancel → invite waitlist → track attended slots,"HYPOTHESIS: Excel/email + DabaDoc, Cliniko, Doctolib",ASSUMPTION: USD200–1800 attributable lost contribution/admin/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,Documented cancellation rate and idle paid capacity,Existing booking tool already sends reminders,ASSUMPTION: MAD1500; EUR199; USD249 per month,logiciel rappel rendez vous cabinet médical,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",Practice consultants + targeted local demos
SAAS-010,Food processors; 30–150 staff; 1–3 sites,Manufacturing CMMS,30–150 staff,France beachhead; wider regions conditional,Plant manager/maintenance head,Plant manager/maintenance head; quality manager,30–150 staff,ASSUMPTION: USD3m–40m/year; Moroccan qualifying revenue differs,Missed inspections and repairs create downtime and poor evidence,Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Register critical assets → scheduled check → report issue → work order → review evidence,"HYPOTHESIS: Excel/email + MaintainX, UpKeep, Limble",ASSUMPTION: USD800–5000 admin/rework; excludes speculative downtime loss/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,Audit findings; recurring missed maintenance,MaintainX/Fiix already works well,ASSUMPTION: MAD4500; EUR599; USD699 per month,logiciel GMAO agroalimentaire PME,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",Industrial maintenance consultants
SAAS-015,Staffing agencies; 10–50 office staff; 100+ active placements,Recruitment and staffing operations,10–50 office staff,UK beachhead; wider regions conditional,Staffing agency owner/CFO,Staffing agency owner/CFO; payroll manager,10–50 office staff,ASSUMPTION: USD3m–30m/year; Moroccan qualifying revenue differs,Unsigned timesheets delay billing and create disputes,Daily/weekly; school finance monthly and term cycle,HYPOTHESIS: Import placements → collect timesheets → client approval → reconcile → billing export,HYPOTHESIS: Excel/email + ,ASSUMPTION: USD700–5000 reconciliation and disputes/month,HYPOTHESIS: Fewer exceptions; shorter cycle time; measurable labor/contribution benefit,Payroll paid before client billed,Must integrate ATS and payroll perfectly,ASSUMPTION: MAD3500; EUR499; USD599 per month,staffing timesheet invoice reconciliation software,"HYPOTHESIS: Google, industry association directories, supplier groups and LinkedIn; validate audience reach",Staffing-accountant referrals
