Opportunity ID,Rank,Product,Initial Moroccan ICP,Morocco Advantage,Why Customers Buy,Expansion Market #1,Expansion Market #2,Expansion Market #3,Global ICP,Global Problem,Localization Required,International Competition,Morocco Price,International Price,Expansion Difficulty,Global Potential,Overall Score
SAAS-001,1,Encaisse Desk,Industrial distributors; 10–75 staff; 200+ credit invoices/month in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge","HYPOTHESIS: Disputed invoices, missing delivery documents and broken payment promises delay cash",Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,Industrial distributors; 10–75 staff; 200+ credit invoices/month,"Disputed invoices, missing delivery documents and broken payment promises delay cash","See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD2500/mo (A),EUR299 / USD349/mo (A),7,8,80.6
SAAS-005,2,Order Intake Desk,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge",HYPOTHESIS: Email and PDF orders rekeyed with SKU and unit errors,Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,Email and PDF orders rekeyed with SKU and unit errors,"See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD6000/mo (A),EUR799 / USD999/mo (A),7,9,80.5
SAAS-003,3,POD Close,Road carriers; 10–75 vehicles; dispatcher plus billing clerk in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge",HYPOTHESIS: Missing PODs prevent accepted invoices,Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,Missing PODs prevent accepted invoices,"See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD3500/mo (A),EUR499 / USD599/mo (A),7,8,79.4
SAAS-002,4,Intervention Cash,Commercial HVAC contractors; 5–30 technicians; recurring service contracts in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge",HYPOTHESIS: Completed jobs lack signed evidence and remain unbilled,Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,Commercial HVAC contractors; 5–30 technicians; recurring service contracts,Completed jobs lack signed evidence and remain unbilled,"See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD2000/mo (A),EUR249 / USD299/mo (A),7,8,79.1
SAAS-004,5,Variation Proof,MEP subcontractors; 10–100 staff; 3+ simultaneous projects in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge",HYPOTHESIS: Unapproved variations and weak evidence cause margin leakage,Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,MEP subcontractors; 10–100 staff; 3+ simultaneous projects,Unapproved variations and weak evidence cause margin leakage,"See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD3500/mo (A),EUR499 / USD599/mo (A),7,8,78.8
SAAS-006,6,Bid Evidence,Engineering/IT suppliers; 20–150 staff; 2+ bids/month in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge",HYPOTHESIS: Repeated questionnaires consume senior staff time,Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,Engineering/IT suppliers; 20–150 staff; 2+ bids/month,Repeated questionnaires consume senior staff time,"See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD4500/mo (A),EUR599 / USD799/mo (A),7,9,76.0
SAAS-007,7,Margin Guard,Retainer agencies; 10–50 staff; 15+ active retainers in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge",HYPOTHESIS: Scope creep hides loss-making accounts,Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,Retainer agencies; 10–50 staff; 15+ active retainers,Scope creep hides loss-making accounts,"See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD1800/mo (A),EUR199 / USD249/mo (A),7,9,75.3
SAAS-009,8,Frais Clairs,Private schools; 300–1500 pupils; dedicated bursar in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge","HYPOTHESIS: Cash, transfers and sibling payments fail to reconcile",Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,Private schools; 300–1500 pupils; dedicated bursar,"Cash, transfers and sibling payments fail to reconcile","See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD2500/mo (A),EUR349 / USD399/mo (A),7,6,75.1
SAAS-008,9,Slot Refill,Physiotherapy/dental groups; 3–15 practitioners; 500+ appointments/month in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge",HYPOTHESIS: Cancellations and missed confirmations waste bookable capacity,Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,Physiotherapy/dental groups; 3–15 practitioners; 500+ appointments/month,Cancellations and missed confirmations waste bookable capacity,"See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD1500/mo (A),EUR199 / USD249/mo (A),7,7,74.7
SAAS-010,10,Maintenance Evidence,Food processors; 30–150 staff; 1–3 sites in Morocco,"HYPOTHESIS: Founder access, bilingual onboarding, local workflow/export knowledge",HYPOTHESIS: Missed inspections and repairs create downtime and poor evidence,Senegal or Côte d’Ivoire: validate one country,France then Belgium: EU compliance + local connectors,Canada then GCC; not simultaneous,Food processors; 30–150 staff; 1–3 sites,Missed inspections and repairs create downtime and poor evidence,"See20_EXPANSION_PLAYBOOK; language, PSP, privacy, invoice fields, support and connectors vary",See08_COMPETITORS; functionality not unique,MAD4500/mo (A),EUR599 / USD699/mo (A),7,8,74.6
