Scenario,Period,End Customers,New Customers Period,Churned Customers Period,ARPU USD,Exit MRR USD,Exit ARR Run-rate USD,CAC USD,Acquisition Spend Period USD,Fixed Marketing Period USD,COGS Team Other Period USD,Gross Profit Period USD,Operating Profit Period USD,Peak24-Month Cumulative Deficit USD
Conservative,Months1–3,1.0,1,0.0,200,200,2400,1000,1000,300,8906,-306,-10006,95339
Conservative,Months4–6,4.9,4,0.1,200,970,11646,1000,4000,300,9396,954,-11746,95339
Conservative,Months7–12,18.4,15,1.5,200,3674,44085,1000,15000,600,27780,9593,-28807,95339
Conservative,Year2,45.0,36,9.4,200,8999,107991,1000,36000,1200,87885,56020,-44780,95339
Base,Months1–3,5.0,5,0.0,250,1242,14910,800,4000,900,11264,979,-14421,69817
Base,Months4–6,19.6,15,0.4,250,4889,58667,800,12000,900,17350,8204,-19696,69817
Base,Months7–12,68.1,52,3.4,250,17027,204327,800,41600,1800,55425,56158,-29242,69817
Base,Year2,189.5,144,22.6,250,47377,568519,800,115200,3600,201071,331989,87189,69817
Aggressive,Months1–3,9.0,9,0.0,300,2685,32220,650,5850,1800,17277,3105,-20745,67127
Aggressive,Months4–6,37.4,29,0.5,300,11233,134802,650,18850,1800,27705,19697,-24653,67127
Aggressive,Months7–12,160.5,128,4.9,300,48158,577899,650,83200,3600,105968,155883,-8317,67127
Aggressive,Year2,483.1,360,37.4,300,144940,1739284,650,234000,7200,459386,1033985,517985,67127
