Opportunity ID,Rank,SaaS Opportunity,Market,ICP,Problem,Demand,WTP,Ticket,Competition,Advertising,MVP Difficulty,Retention,Global Potential,Morocco Potential,ROI,Final Score
SAAS-001,1,Receivables exception desk for industrial distributors,Morocco → Global,Industrial distributors; 10–75 staff; 200+ credit invoices/month,"Disputed invoices, missing delivery documents and broken payment promises delay cash",9,8,"ASSUMPTION: MAD2,500/mo or USD349/mo internationally",5,7,8,9,8,9,9,80.6
SAAS-005,2,AI-assisted wholesale order intake,Morocco → Global,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,Email and PDF orders rekeyed with SKU and unit errors,8,9,"ASSUMPTION: MAD6,000/mo or USD999/mo internationally",5,6,5,9,9,8,9,80.5
SAAS-003,3,Freight proof-of-delivery to invoice exceptions,Morocco → Global,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,Missing PODs prevent accepted invoices,8,8,"ASSUMPTION: MAD3,500/mo or USD599/mo internationally",6,6,6,9,8,8,9,79.4
SAAS-002,4,HVAC maintenance proof-to-invoice,Morocco → Global,Commercial HVAC contractors; 5–30 technicians; recurring service contracts,Completed jobs lack signed evidence and remain unbilled,8,8,"ASSUMPTION: MAD2,000/mo or USD299/mo internationally",6,8,7,9,8,9,9,79.1
SAAS-004,5,Subcontractor variation approval and billing evidence,Global,MEP subcontractors; 10–100 staff; 3+ simultaneous projects,Unapproved variations and weak evidence cause margin leakage,8,8,"ASSUMPTION: MAD3,500/mo or USD599/mo internationally",6,8,7,8,8,7,9,78.8
SAAS-006,6,Evidence-linked tender response workspace,Global,Engineering/IT suppliers; 20–150 staff; 2+ bids/month,Repeated questionnaires consume senior staff time,8,8,"ASSUMPTION: MAD4,500/mo or USD799/mo internationally",5,7,7,8,9,7,8,76.0
SAAS-007,7,Agency scope and margin leakage monitor,Global,Retainer agencies; 10–50 staff; 15+ active retainers,Scope creep hides loss-making accounts,8,7,"ASSUMPTION: MAD1,800/mo or USD249/mo internationally",5,7,8,8,9,7,9,75.3
SAAS-009,8,Private-school fee reconciliation,Morocco → Africa,Private schools; 300–1500 pupils; dedicated bursar,"Cash, transfers and sibling payments fail to reconcile",8,7,"ASSUMPTION: MAD2,500/mo or USD399/mo internationally",5,6,7,9,6,9,8,75.1
SAAS-008,9,Clinic cancellation refill and attendance desk,Morocco → Global,Physiotherapy/dental groups; 3–15 practitioners; 500+ appointments/month,Cancellations and missed confirmations waste bookable capacity,8,7,"ASSUMPTION: MAD1,500/mo or USD249/mo internationally",5,8,8,8,7,9,9,74.7
SAAS-010,10,Food-factory preventive-maintenance evidence,Global,Food processors; 30–150 staff; 1–3 sites,Missed inspections and repairs create downtime and poor evidence,8,8,"ASSUMPTION: MAD4,500/mo or USD699/mo internationally",4,6,6,9,8,7,8,74.6
SAAS-015,11,Staffing timesheet-to-invoice reconciliation,Global,Staffing agencies; 10–50 office staff; 100+ active placements,Unsigned timesheets delay billing and create disputes,8,8,"ASSUMPTION: MAD3,500/mo or USD599/mo internationally",5,6,6,8,8,6,9,74.4
SAAS-019,12,Moroccan payroll engine,Morocco,SMEs; 20–250 staff,Payroll errors and statutory updates,9,8,DATA NOT VERIFIED,4,5,2,10,3,9,8,72.8
SAAS-014,13,Multi-site purchase and AP approval desk,Global,Distributors/service groups; 30–200 staff; 3+ sites,Unauthorized purchases and missing invoice approvals,8,8,"ASSUMPTION: MAD4,500/mo or USD749/mo internationally",4,6,6,8,8,7,8,72.7
SAAS-011,14,Property maintenance triage and contractor evidence,Morocco → Global,Property managers; 200–1500 units; 5–30 staff,Repair requests lost between tenants and contractors,8,7,"ASSUMPTION: MAD2,000/mo or USD349/mo internationally",5,7,7,8,8,8,8,72.4
SAAS-013,15,MSP customer security-evidence collection,Global,MSPs; 10–100 staff; 20+ managed business clients,Repeated evidence gathering slows renewals and audits,8,8,"ASSUMPTION: MAD5,500/mo or USD899/mo internationally",4,6,5,8,9,5,7,72.4
SAAS-033,16,CBAM supplier evidence collection,Morocco → Europe,Covered metal exporters supplying obligated EU importers,Emissions evidence requests threaten trade relationships,8,8,DATA NOT VERIFIED,5,5,3,8,6,9,7,72.1
SAAS-012,17,Riad group inquiry to deposit workflow,Morocco → Global,Riad groups/DMCs; 3–15 properties or 10–50 staff,Slow multilingual group quotes and missing deposits lose business,8,6,"ASSUMPTION: MAD1,800/mo or USD299/mo internationally",5,7,8,7,8,9,8,71.0
SAAS-016,18,Retail replenishment exceptions,Morocco → Global,Specialty retailers; 3–20 stores,Stockouts and overstock across stores,8,7,DATA NOT VERIFIED,4,5,5,8,8,8,8,70.7
SAAS-020,19,COD return and settlement reconciliation,Morocco → Africa,COD merchants; 1000+ orders/month,Courier settlements and return reasons mismatch,8,6,DATA NOT VERIFIED,5,6,6,7,6,9,9,70.5
SAAS-034,20,Auto workshop approval-to-job-card,Morocco → Africa,Independent garages; 5–25 technicians,Unapproved extras and poor parts/job tracking,8,6,DATA NOT VERIFIED,5,6,7,8,7,9,9,70.2
