Opportunity ID,Growth Potential /10,B2B Potential /10,Targeting Ease /10,Sales Ease /10,Entry Ease /10,Gross Margin Potential /10,Demand /10,Pain /10,WTP /10,Recurring /10,CAC /10,Retention /10,High Ticket /10,Competition /10,MVP Ease /10,ROI /10,Morocco /10,Global /10,Moat /10,AI /10,Weighted Score /100,Evidence,Score Interpretation
SAAS-001,7,9,7,7,8,8,9,9,8,9,7,9,8,5,8,9,9,8,6,5,80.6,S01;S02;S06;S07;S08;S35;S36,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-005,8,9,6,6,5,7,8,8,9,10,6,9,9,5,5,9,8,9,7,9,80.5,S15;S08,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-003,7,9,7,7,6,8,8,9,8,9,7,9,8,6,6,9,8,8,7,6,79.4,S11;S12,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-002,6,9,7,7,7,8,8,8,8,10,7,9,7,6,7,9,9,8,7,4,79.1,S09;S10,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-004,6,9,7,7,7,8,8,9,8,9,7,8,9,6,7,9,7,8,7,5,78.8,S13;S14,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-006,8,9,6,6,7,8,8,8,8,8,6,8,9,5,7,8,7,9,6,9,76.0,S16;S17,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-007,8,9,7,7,8,8,8,8,7,9,7,8,6,5,8,9,7,9,6,7,75.3,S18,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-009,6,9,6,6,7,7,8,8,7,10,6,9,7,5,7,8,9,6,7,4,75.1,S21;S22,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-008,6,9,7,7,8,7,8,8,7,9,7,8,6,5,8,9,9,7,6,5,74.7,S19;S20;S03;S04,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-010,6,9,5,5,6,8,8,8,8,10,5,9,8,4,6,8,7,8,6,5,74.6,S23;S24,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-015,7,9,6,6,6,8,8,8,8,9,6,8,8,5,6,9,6,8,6,6,74.4,S01,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-019,6,9,5,5,2,7,9,9,8,10,5,10,7,4,2,8,9,3,6,3,72.8,S02,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-014,8,9,5,5,6,8,8,8,8,9,5,8,8,4,6,8,7,8,5,7,72.7,S08;S15,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-011,6,9,6,6,7,8,8,7,7,9,6,8,7,5,7,8,8,8,6,5,72.4,S09,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-013,8,9,5,5,5,8,8,8,8,9,5,8,9,4,5,7,5,9,6,7,72.4,S26,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-033,7,9,5,5,3,7,8,9,8,8,5,8,9,5,3,7,9,6,6,6,72.1,S29,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-012,7,9,7,7,8,8,8,7,6,8,7,7,6,5,8,8,9,8,6,6,71.0,S25,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-016,7,9,5,5,5,7,8,8,7,9,5,8,7,4,5,8,8,8,5,6,70.7,S08,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-020,7,9,6,6,6,7,8,8,6,9,6,7,6,5,6,9,9,6,6,6,70.5,S11,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-034,6,9,6,6,7,7,8,7,6,9,6,8,5,5,7,9,9,7,6,4,70.2,S09,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-040,6,9,5,5,7,7,7,7,7,8,5,8,8,5,7,7,6,8,6,6,68.9,S16,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-017,6,9,5,5,6,7,8,8,6,9,5,7,6,5,6,9,8,7,5,5,68.7,S08,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-039,7,9,5,5,2,7,9,8,7,10,5,9,6,3,2,8,8,4,5,5,68.7,S19;S03,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-024,9,9,3,3,6,7,9,7,7,9,3,6,7,2,6,8,5,10,3,9,65.6,S27,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-027,7,9,4,4,6,7,7,7,7,8,4,8,7,4,6,7,5,8,5,7,65.5,S16,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-028,7,9,4,4,2,7,10,8,6,10,4,9,6,2,2,8,5,5,4,4,65.4,S28;S08,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-038,8,9,5,5,6,7,9,7,5,9,5,7,5,2,6,7,8,8,3,7,64.6,S04;S30,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-030,8,9,3,3,2,7,9,7,7,9,3,7,7,1,2,8,4,10,2,8,62.8,S26,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-018,6,9,5,5,8,7,8,6,5,8,5,8,5,3,8,6,8,5,4,4,61.7,S08,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-025,6,9,4,4,6,7,7,7,7,8,4,7,7,3,6,5,3,9,4,6,61.7,S27,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
SAAS-036,6,9,4,4,7,7,7,7,6,7,4,6,7,4,7,5,8,7,5,6,61.7,S26,"All factors analyst hypotheses; Growth is heuristic, NOT measured CAGR. CAC derived from targeting/channel/sales judgment; extra factors unweighted. Higher=better, not difficulty."
