Opportunity ID,ICP,Google Search Demand,Commercial Intent,Google Ads Potential /10,Meta Ads Potential /10,LinkedIn Ads Potential /10,YouTube Ads Potential /10,Cold Email /10,LinkedIn Outreach /10,WhatsApp /10,SEO /10,Referral /10,Partnerships /10,Best Channel,CAC Range,Why Advertising Should Work,Main Advertising Risk
SAAS-001,Industrial distributors; 10–75 staff; 200+ credit invoices/month,DATA NOT VERIFIED; keyword themes: logiciel suivi créances grossiste; relance facture impayée,Commercial workflow intent plausible; CPC/volume UNKNOWN,7,3,4,3,8,7,2,7,9,9,Accountant referrals + founder outbound,ASSUMPTION: USD400–1400 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
SAAS-005,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,DATA NOT VERIFIED; keyword themes: sales order automation distributor PDF to ERP,Commercial workflow intent plausible; CPC/volume UNKNOWN,6,2,6,3,8,8,5,6,8,9,ERP implementer partnerships,ASSUMPTION: USD1500–5000 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
SAAS-003,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,DATA NOT VERIFIED; keyword themes: proof of delivery invoicing software; facture transport CMR,Commercial workflow intent plausible; CPC/volume UNKNOWN,6,3,5,3,8,7,6,6,8,9,Transport-accountant/TMS partners,ASSUMPTION: USD900–3000 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
SAAS-002,Commercial HVAC contractors; 5–30 technicians; recurring service contracts,DATA NOT VERIFIED; keyword themes: logiciel intervention maintenance climatisation,Commercial workflow intent plausible; CPC/volume UNKNOWN,8,6,3,4,7,6,7,7,9,9,HVAC supplier partnerships,ASSUMPTION: USD500–1800 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
SAAS-004,MEP subcontractors; 10–100 staff; 3+ simultaneous projects,DATA NOT VERIFIED; keyword themes: construction change order software subcontractor,Commercial workflow intent plausible; CPC/volume UNKNOWN,8,5,5,4,8,7,6,8,8,8,Trade-association outbound,ASSUMPTION: USD800–3000 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
SAAS-006,Engineering/IT suppliers; 20–150 staff; 2+ bids/month,DATA NOT VERIFIED; keyword themes: logiciel réponse appel offres mémoire technique,Commercial workflow intent plausible; CPC/volume UNKNOWN,7,2,6,4,8,8,3,7,8,9,Bid-consultant referrals + targeted email,ASSUMPTION: USD1000–4000 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
SAAS-007,Retainer agencies; 10–50 staff; 15+ active retainers,DATA NOT VERIFIED; keyword themes: agency retainer profitability software,Commercial workflow intent plausible; CPC/volume UNKNOWN,7,5,4,4,8,8,4,7,9,9,Agency consultants + founder outbound,ASSUMPTION: USD300–1200 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
SAAS-009,Private schools; 300–1500 pupils; dedicated bursar,DATA NOT VERIFIED; keyword themes: logiciel paiement frais scolarité Maroc,Commercial workflow intent plausible; CPC/volume UNKNOWN,6,5,3,3,6,5,5,6,9,9,School-accountant partnerships,ASSUMPTION: USD600–2400 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
SAAS-008,Physiotherapy/dental groups; 3–15 practitioners; 500+ appointments/month,DATA NOT VERIFIED; keyword themes: logiciel rappel rendez vous cabinet médical,Commercial workflow intent plausible; CPC/volume UNKNOWN,8,7,2,3,6,4,7,7,9,8,Practice consultants + targeted local demos,ASSUMPTION: USD350–1500 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
SAAS-010,Food processors; 30–150 staff; 1–3 sites,DATA NOT VERIFIED; keyword themes: logiciel GMAO agroalimentaire PME,Commercial workflow intent plausible; CPC/volume UNKNOWN,6,2,5,3,7,7,5,6,8,9,Industrial maintenance consultants,ASSUMPTION: USD1200–4000 international all-in blended,HYPOTHESIS: Buyer recognizes costly workflow; test booked-demo-to-paid not form leads,"Low search volume, suite incumbents, jobseekers/consumer clicks; ads not proven profitable"
