Opportunity ID,Rank,SaaS,Product Category,ICP,Decision Maker,Company Revenue,Problem Severity,Current Cost of Problem,Expected ROI,Monthly Price,Annual Contract Value,High-Ticket Score /10,Sales Cycle,Lead Acquisition Difficulty,Google Ads,LinkedIn,Cold Email,Direct Sales,Retention Potential,Switching Cost,Competition,Overall Score
SAAS-001,1,Encaisse Desk,Accounts receivable,Industrial distributors; 10–75 staff; 200+ credit invoices/month,Owner/CFO; accountant champion,ASSUMPTION: USD1m–15m/year,9,ASSUMPTION: USD300–2000 of attributable admin/rework; excludes invoice principal/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD698–1396,ASSUMPTION: USD8376–16752,8,ASSUMPTION: 2–8 weeks,4,7,4,8,7,9,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",5,80.6
SAAS-005,2,Order Intake Desk,Wholesale order operations,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,COO/head of customer service; ERP manager,ASSUMPTION: USD3m–40m/year,8,ASSUMPTION: USD1200–7000 labor/rework; local labor may make ROI insufficient/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD1998–3996,ASSUMPTION: USD23976–47952,9,ASSUMPTION: 4–12 weeks,5,6,6,8,6,9,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",5,80.5
SAAS-003,3,POD Close,Logistics and transport,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,Carrier owner/CFO; billing supervisor,ASSUMPTION: USD1m–20m/year,9,ASSUMPTION: USD600–4000 admin and dispute handling/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD1198–2396,ASSUMPTION: USD14376–28752,8,ASSUMPTION: 2–8 weeks,4,6,5,8,7,9,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",6,79.4
SAAS-002,4,Intervention Cash,Field services,Commercial HVAC contractors; 5–30 technicians; recurring service contracts,Owner/operations manager; dispatcher champion,ASSUMPTION: USD0.5m–8m/year,8,ASSUMPTION: USD400–2500 admin/revisits/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD599–1198,ASSUMPTION: USD7188–14376,7,ASSUMPTION: 2–8 weeks,4,8,3,7,7,9,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",6,79.1
SAAS-004,5,Variation Proof,Construction,MEP subcontractors; 10–100 staff; 3+ simultaneous projects,Managing director/commercial director; quantity surveyor,ASSUMPTION: USD2m–30m/year,9,ASSUMPTION: USD800–6000 admin and unrecovered contribution risk/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD1198–2396,ASSUMPTION: USD14376–28752,9,ASSUMPTION: 2–8 weeks,4,8,5,8,7,8,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",6,78.8
SAAS-006,6,Bid Evidence,RFP and bid management,Engineering/IT suppliers; 20–150 staff; 2+ bids/month,Bid director/sales director; proposal manager,ASSUMPTION: USD2m–30m/year,8,ASSUMPTION: USD1000–8000 proposal labor/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD1598–3196,ASSUMPTION: USD19176–38352,9,ASSUMPTION: 2–8 weeks,5,7,6,8,6,8,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",5,76.0
SAAS-009,8,Frais Clairs,Private school finance,Private schools; 300–1500 pupils; dedicated bursar,School owner/finance director; bursar,ASSUMPTION: USD0.5m–8m/year,8,ASSUMPTION: USD300–2000 reconciliation/admin/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD798–1596,ASSUMPTION: USD9576–19152,7,ASSUMPTION: 2–8 weeks,5,6,3,6,6,9,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",5,75.1
SAAS-010,10,Maintenance Evidence,Manufacturing CMMS,Food processors; 30–150 staff; 1–3 sites,Plant manager/maintenance head; quality manager,ASSUMPTION: USD3m–40m/year,8,ASSUMPTION: USD800–5000 admin/rework; excludes speculative downtime loss/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD1398–2796,ASSUMPTION: USD16776–33552,8,ASSUMPTION: 4–12 weeks,6,6,5,7,5,9,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",4,74.6
SAAS-015,11,Timesheet Close,Recruitment and staffing operations,Staffing agencies; 10–50 office staff; 100+ active placements,Staffing agency owner/CFO; payroll manager,ASSUMPTION: USD3m–30m/year,8,ASSUMPTION: USD700–5000 reconciliation and disputes/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD1198–2396,ASSUMPTION: USD14376–28752,8,ASSUMPTION: 2–8 weeks,5,6,5,8,6,8,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",5,74.4
SAAS-014,13,Approval Desk,Procurement and accounts payable,Distributors/service groups; 30–200 staff; 3+ sites,CFO/procurement manager,ASSUMPTION: USD3m–40m/year,8,ASSUMPTION: USD700–4500 finance admin/errors/month,HYPOTHESIS: Require documented monthly benefit >=3× subscription; no recovery guarantee,ASSUMPTION: USD1498–2996,ASSUMPTION: USD17976–35952,8,ASSUMPTION: 2–8 weeks,6,6,5,7,5,8,"HYPOTHESIS: Moderate: historical exceptions, policies and connector; preserve exportability",4,72.7
