Opportunity ID,Rank,Opportunity,Market,ICP,Monthly Price,High-Ticket Potential,Demand,Pain,WTP,CAC Potential,Advertising,Sales Difficulty,Retention,MVP Speed,Competition,Moat,Morocco Advantage,Global Potential,AI Advantage,ROI Clarity,Risk,Final Score /100,Build Priority,Final Verdict
SAAS-001,1,Receivables exception desk for industrial distributors,Morocco → Global,Industrial distributors; 10–75 staff; 200+ credit invoices/month,"ASSUMPTION: MAD2,500/mo or USD349/mo internationally",8,9,9,8,7,7,4,9,8,5,6,9,8,5,9,6,80.6,"1: paid validation, not full build",BUILD NOW
SAAS-005,2,AI-assisted wholesale order intake,Morocco → Global,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,"ASSUMPTION: MAD6,000/mo or USD999/mo internationally",9,8,8,9,6,6,5,9,5,5,7,8,9,9,9,7,80.5,Gated alternative,STRONG ALTERNATIVE
SAAS-003,3,Freight proof-of-delivery to invoice exceptions,Morocco → Global,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,"ASSUMPTION: MAD3,500/mo or USD599/mo internationally",8,8,9,8,7,6,4,9,6,6,7,8,8,6,9,6,79.4,Gated alternative,STRONG ALTERNATIVE
SAAS-002,4,HVAC maintenance proof-to-invoice,Morocco → Global,Commercial HVAC contractors; 5–30 technicians; recurring service contracts,"ASSUMPTION: MAD2,000/mo or USD299/mo internationally",7,8,8,8,7,8,4,9,7,6,7,9,8,4,9,6,79.1,Gated alternative,STRONG ALTERNATIVE
SAAS-004,5,Subcontractor variation approval and billing evidence,Global,MEP subcontractors; 10–100 staff; 3+ simultaneous projects,"ASSUMPTION: MAD3,500/mo or USD599/mo internationally",9,8,9,8,7,8,4,8,7,6,7,7,8,5,9,6,78.8,Gated alternative,STRONG ALTERNATIVE
SAAS-006,6,Evidence-linked tender response workspace,Global,Engineering/IT suppliers; 20–150 staff; 2+ bids/month,"ASSUMPTION: MAD4,500/mo or USD799/mo internationally",9,8,8,8,6,7,5,8,7,5,6,7,9,9,8,6,76.0,Do not build yet,VALIDATE
SAAS-007,7,Agency scope and margin leakage monitor,Global,Retainer agencies; 10–50 staff; 15+ active retainers,"ASSUMPTION: MAD1,800/mo or USD249/mo internationally",6,8,8,7,7,7,4,8,8,5,6,7,9,7,9,6,75.3,Do not build yet,VALIDATE
SAAS-009,8,Private-school fee reconciliation,Morocco → Africa,Private schools; 300–1500 pupils; dedicated bursar,"ASSUMPTION: MAD2,500/mo or USD399/mo internationally",7,8,8,7,6,6,5,9,7,5,7,9,6,4,8,6,75.1,Do not build yet,VALIDATE
SAAS-008,9,Clinic cancellation refill and attendance desk,Morocco → Global,Physiotherapy/dental groups; 3–15 practitioners; 500+ appointments/month,"ASSUMPTION: MAD1,500/mo or USD249/mo internationally",6,8,8,7,7,8,4,8,8,5,6,9,7,5,9,7,74.7,Do not build yet,VALIDATE
SAAS-010,10,Food-factory preventive-maintenance evidence,Global,Food processors; 30–150 staff; 1–3 sites,"ASSUMPTION: MAD4,500/mo or USD699/mo internationally",8,8,8,8,5,6,6,9,6,4,6,7,8,5,8,7,74.6,Do not build yet,VALIDATE
