Opportunity ID,Market,Plan,Monthly Price,Annual Price,Target Customer,Expected ARPU,Gross Margin %,Estimated CAC,Monthly Churn %,Estimated LTV,LTV:CAC,Payback Months,Customers for $10k MRR,Customers for $50k MRR,Customers for $100k MRR,Confidence Level,Assumptions
SAAS-001,Morocco,Free strategy,No ongoing free plan / sandbox only,N/A,Industrial distributors; 10–75 staff; 200+ credit invoices/month,MAD2500 professional baseline; mixed ARPU UNKNOWN,75–85,USD250–900,1.0–2.5,USD4500–5100 (24-month capped GP proxy),5.0–20.4,1.2–4.8,40,200,400,LOW — all economics modeled,"ASSUMPTION: No permanent free production plan; redacted-data audit; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Morocco,Trial strategy,No ongoing free plan / sandbox only,N/A,Industrial distributors; 10–75 staff; 200+ credit invoices/month,MAD2500 professional baseline; mixed ARPU UNKNOWN,75–85,USD250–900,1.0–2.5,USD4500–5100 (24-month capped GP proxy),5.0–20.4,1.2–4.8,40,200,400,LOW — all economics modeled,"ASSUMPTION: 14-day sandbox;30-day paid concierge pilot at Pro; no fake free delivery; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Morocco,Starter,MAD1500,MAD16200,Industrial distributors; 10–75 staff; 200+ credit invoices/month,MAD2500 professional baseline; mixed ARPU UNKNOWN,75–85,USD250–900,1.0–2.5,USD4500–5100 (24-month capped GP proxy),5.0–20.4,1.2–4.8,40,200,400,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Morocco,Professional,MAD2500,MAD27000,Industrial distributors; 10–75 staff; 200+ credit invoices/month,MAD2500 professional baseline; mixed ARPU UNKNOWN,75–85,USD250–900,1.0–2.5,USD4500–5100 (24-month capped GP proxy),5.0–20.4,1.2–4.8,40,200,400,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Morocco,Business,MAD5000,MAD54000,Industrial distributors; 10–75 staff; 200+ credit invoices/month,MAD2500 professional baseline; mixed ARPU UNKNOWN,75–85,USD250–900,1.0–2.5,USD4500–5100 (24-month capped GP proxy),5.0–20.4,1.2–4.8,40,200,400,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Morocco,Enterprise,MAD10000,MAD108000,Industrial distributors; 10–75 staff; 200+ credit invoices/month,MAD2500 professional baseline; mixed ARPU UNKNOWN,75–85,USD250–900,1.0–2.5,USD4500–5100 (24-month capped GP proxy),5.0–20.4,1.2–4.8,40,200,400,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Morocco,High-ticket / custom,MAD15000,MAD162000,Industrial distributors; 10–75 staff; 200+ credit invoices/month,MAD2500 professional baseline; mixed ARPU UNKNOWN,75–85,USD250–900,1.0–2.5,USD4500–5100 (24-month capped GP proxy),5.0–20.4,1.2–4.8,40,200,400,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Europe,Free strategy,No ongoing free plan / sandbox only,N/A,Industrial distributors; 10–75 staff; 200+ credit invoices/month,EUR299 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD5920–6710 (24-month capped GP proxy),4.2–16.8,1.4–5.7,31,153,305,LOW — all economics modeled,"ASSUMPTION: No permanent free production plan; redacted-data audit; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Europe,Trial strategy,No ongoing free plan / sandbox only,N/A,Industrial distributors; 10–75 staff; 200+ credit invoices/month,EUR299 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD5920–6710 (24-month capped GP proxy),4.2–16.8,1.4–5.7,31,153,305,LOW — all economics modeled,"ASSUMPTION: 14-day sandbox;30-day paid concierge pilot at Pro; no fake free delivery; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Europe,Starter,EUR180,EUR1944,Industrial distributors; 10–75 staff; 200+ credit invoices/month,EUR299 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD5920–6710 (24-month capped GP proxy),4.2–16.8,1.4–5.7,31,153,305,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Europe,Professional,EUR299,EUR3229,Industrial distributors; 10–75 staff; 200+ credit invoices/month,EUR299 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD5920–6710 (24-month capped GP proxy),4.2–16.8,1.4–5.7,31,153,305,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
SAAS-001,Europe,Business,EUR600,EUR6480,Industrial distributors; 10–75 staff; 200+ credit invoices/month,EUR299 professional baseline; mixed ARPU UNKNOWN,75–85,USD400–1400,1.0–2.5,USD5920–6710 (24-month capped GP proxy),4.2–16.8,1.4–5.7,31,153,305,LOW — all economics modeled,"ASSUMPTION: Proposed subscription; annual 10% discount; custom tiers are floors, not quotes; Pilot/Professional:1 entity,3 users,500 open invoices,1 agreed CSV format; Starter:1 user/150 open invoices; Business:10 users/2000 open invoices; Enterprise/custom:volume and support negotiated. No unlimited concierge work.; FX: MAD10/USD1, EUR1/USD1.10 not spot rates; taxes/usage/implementation extra; CAC and LTV USD; early concierge GM may be30–60%; no claim of measured LTV"
