Opportunity ID,Product Name,One-Line Value Proposition,ICP,Core Problem,Core Solution,Core Workflow,MVP Feature #1,MVP Feature #2,MVP Feature #3,MVP Feature #4,MVP Feature #5,AI Feature,Automation,Integrations,Dashboard,Reporting,Notifications,User Roles,Mobile Needed,Web Needed,API Needed,Technical Complexity /10,Time to MVP
SAAS-001,Encaisse Desk,"Resolve disputed invoices, missing delivery documents and broken payment promises delay cash",Industrial distributors; 10–75 staff; 200+ credit invoices/month,"Disputed invoices, missing delivery documents and broken payment promises delay cash",Narrow exception overlay; do not replace system of record,Import aged receivables → validate balances → assign exception → request missing document → record promise → reconcile cleared payment,Validated CSV imports,Aging and missing-document queue,Owner-assigned disputes,Approved email follow-ups and call tasks,Payment reconciliation and audit export,Classify reply/dispute reasons with confidence and human approval,Deterministic queues/reminders; human approval before irreversible actions,CSV first; one Sage export format; Microsoft365/Gmail later; Odoo after demand,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive web; no native app,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,5,ASSUMPTION: 6–8 weeks;2 engineers; compliance may delay launch
SAAS-005,Order Intake Desk,Resolve email and pdf orders rekeyed with sku and unit errors,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,Email and PDF orders rekeyed with SKU and unit errors,Narrow exception overlay; do not replace system of record,Forward PO → extract → match customer SKU/unit → human review → ERP draft order,PO inbox,PDF table extraction,SKU alias dictionary,Confidence-based review,Validated CSV export,Document extraction and SKU matching; never auto-send low-confidence orders,Deterministic queues/reminders; human approval before irreversible actions,One ERP CSV; shared inbox; Odoo/Sage connector later,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive web; no native app,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,7,ASSUMPTION: 10–12 weeks;2 engineers; compliance may delay launch
SAAS-003,POD Close,Resolve missing pods prevent accepted invoices,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,Missing PODs prevent accepted invoices,Narrow exception overlay; do not replace system of record,Upload POD → match shipment → flag missing proof → resolve discrepancy → export billable load,Shipment CSV,Mobile POD upload,Shipment-document matching,Exception queue,Invoice-ready packet,Extract load references and flag illegible PODs for review,Deterministic queues/reminders; human approval before irreversible actions,TMS CSV first; driver upload; accounting export; one TMS API later,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive mobile/PWA; camera upload,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,6,ASSUMPTION: 8–12 weeks;2 engineers; compliance may delay launch
SAAS-002,Intervention Cash,Resolve completed jobs lack signed evidence and remain unbilled,Commercial HVAC contractors; 5–30 technicians; recurring service contracts,Completed jobs lack signed evidence and remain unbilled,Narrow exception overlay; do not replace system of record,Book recurring job → technician checklist → photos/signature → office approval → invoice-ready pack,Customer/site register,Recurring visit scheduler,Mobile checklist,Photo/signature evidence,Invoice-ready export,Convert technician notes into draft service report; no safety certification,Deterministic queues/reminders; human approval before irreversible actions,CSV; email; calendar; one accounting export,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive mobile/PWA; camera upload,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,6,ASSUMPTION: 8–10 weeks;2 engineers; compliance may delay launch
SAAS-004,Variation Proof,Resolve unapproved variations and weak evidence cause margin leakage,MEP subcontractors; 10–100 staff; 3+ simultaneous projects,Unapproved variations and weak evidence cause margin leakage,Narrow exception overlay; do not replace system of record,Record extra work → attach evidence → request approval → track status → export claim pack,Project register,Mobile change log,Photo/time evidence,Approval link,Variation billing export,Draft variation narrative citing original evidence; human signs,Deterministic queues/reminders; human approval before irreversible actions,CSV; email; document storage; accounting export,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive mobile/PWA; camera upload,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,5,ASSUMPTION: 6–10 weeks;2 engineers; compliance may delay launch
SAAS-006,Bid Evidence,Resolve repeated questionnaires consume senior staff time,Engineering/IT suppliers; 20–150 staff; 2+ bids/month,Repeated questionnaires consume senior staff time,Narrow exception overlay; do not replace system of record,Import approved answers → upload tender → map requirements → draft cited response → approve → export,Approved answer library,Tender import,Requirement checklist,Cited drafts,Word export and approvals,"Retrieval with citations, stale-answer flags, abstention",Deterministic queues/reminders; human approval before irreversible actions,DOCX/XLSX/PDF first; SharePoint later,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive web; no native app,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,6,ASSUMPTION: 6–10 weeks;2 engineers; compliance may delay launch
SAAS-007,Margin Guard,Resolve scope creep hides loss-making accounts,Retainer agencies; 10–50 staff; 15+ active retainers,Scope creep hides loss-making accounts,Narrow exception overlay; do not replace system of record,Import budgets/time → compare scope → flag retainer overrun → approve change → review margin,Retainer budgets,Time CSV import,Scope exception queue,Margin dashboard,Client-change approval,Classify request as possible out-of-scope with rationale,Deterministic queues/reminders; human approval before irreversible actions,Harvest/Toggl CSV; project export; Slack later,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive web; no native app,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,4,ASSUMPTION: 4–6 weeks;2 engineers; compliance may delay launch
SAAS-009,Frais Clairs,"Resolve cash, transfers and sibling payments fail to reconcile",Private schools; 300–1500 pupils; dedicated bursar,"Cash, transfers and sibling payments fail to reconcile",Narrow exception overlay; do not replace system of record,Import fee schedule → match family receipts → review exceptions → issue receipt → statement,Family fee ledger,Bank CSV matching,Cash receipt audit,Sibling allocation,Parent statement export,Suggest transfer-to-family matches; human confirmation,Deterministic queues/reminders; human approval before irreversible actions,Bank CSV; school roster CSV; no assumed Massar API,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive web; no native app,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,5,ASSUMPTION: 8–10 weeks;2 engineers; compliance may delay launch
SAAS-008,Slot Refill,Resolve cancellations and missed confirmations waste bookable capacity,Physiotherapy/dental groups; 3–15 practitioners; 500+ appointments/month,Cancellations and missed confirmations waste bookable capacity,Narrow exception overlay; do not replace system of record,Import appointments → confirm consent → confirm/cancel → invite waitlist → track attended slots,Appointment CSV/calendar,Consent/preferences,Confirmation links,Waitlist workflow,Attendance audit,"Suggest waitlist ordering by explicit availability, not health inference",Deterministic queues/reminders; human approval before irreversible actions,Calendar/CSV; SMS provider; approved messaging only,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive web; no native app,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,5,ASSUMPTION: 6–8 weeks;2 engineers; compliance may delay launch
SAAS-010,Maintenance Evidence,Resolve missed inspections and repairs create downtime and poor evidence,Food processors; 30–150 staff; 1–3 sites,Missed inspections and repairs create downtime and poor evidence,Narrow exception overlay; do not replace system of record,Register critical assets → scheduled check → report issue → work order → review evidence,Asset register,Recurring checklist,Mobile work orders,Photo evidence,Overdue maintenance report,Draft SOP from approved manual; reviewer verifies,Deterministic queues/reminders; human approval before irreversible actions,CSV assets; QR labels; no IoT in MVP,"Exceptions by owner, amount, age and next action",Weekly baseline vs observed time and resolved exceptions,Email/in-app; approved SMS optional; no WhatsApp collections,Admin; operator; reviewer; read-only accountant/client with scoped links,Responsive mobile/PWA; camera upload,"Multi-tenant web with RBAC, audit, backups, import/export",Internal API; CSV first; public API only after demand,6,ASSUMPTION: 8–12 weeks;2 engineers; compliance may delay launch
