Source ID,Publisher,URL,Publication / Period,Evidence Level,Claim and Limit,Access Date
S01,French Ministry of Economy,https://presse.economie.gouv.fr/delais-de-paiement/,2025-07-11,VERIFIED / FACT,2024 average late payment 13.6 days; estimated EUR15bn SME/microenterprise cash impact. Not recoverable SaaS revenue or Moroccan data.,2026-09-15
S02,Sage Morocco,https://www.sage.com/fr-ma/blog/delais-de-paiement-a-quoi-faut-il-sattendre-en-2025/,2024-10-08,STRONG SIGNAL / secondary professional source,Law 69-21 phase includes MAD2m–10m turnover businesses in Jan 2025. Legal applicability must be confirmed; no automatic tax filing proposed.,2026-09-15
S03,CNDP,https://www.cndp.ma/notifier-une-demande-de-transfert-a-letranger/,Current page,VERIFIED / FACT,Cross-border personal-data transfers subject to statutory conditions; underlying treatment approval required for transfer authorization; stated 2-month review may extend once.,2026-09-15
S04,Meta WhatsApp policy,https://business.whatsapp.com/policy,Current page,VERIFIED / FACT,Opt-in and templates do not override prohibited verticals; debt collection explicitly listed. No WhatsApp collections in MVP.,2026-09-15
S05,OMPIC,http://www.ompic.ma/fr/actualites/office-marocain-de-la-propriete-industrielle-et-commerciale-les-creations-dentreprises,2025-09-01,STRONG SIGNAL / official indexed excerpt,"56,572 business creations H1 2025; 17.7% growth. Not active-company count, serviceable market or paying SaaS demand.",2026-09-15
S06,Chaser pricing,https://www.chaserhq.com/chaser-pricing,Current page,VERIFIED / FACT,"Rendered from-prices USD259/779/1169 monthly; annual toggle saves 10%, exact checkout billing-state needs confirmation. CSV and Odoo integrations already exist.",2026-09-15
S07,LeanPay,https://www.leanpay.io/tarifs,Current page,STRONG SIGNAL / official indexed price,"Indexed starting EUR135 excl. tax/month; billing term not captured. Fetched features include multichannel reminders, disputes and email integration. Confirm quote.",2026-09-15
S08,Odoo,https://www.odoo.com/pricing,Current page,STRONG SIGNAL / official indexed excerpt,One App Free and broad ERP paid plans exist; geography/billing-specific live price DATA NOT VERIFIED. Generic invoicing/ERP wedge weak.,2026-09-15
S09,Jobber,https://www.getjobber.com/pricing/,Current page,VERIFIED / FACT,Core USD39 monthly or29 annual equivalent; Connect team169/129; Grow team349/249; Plus599/449. Selected payment and messaging features limited to US/Canada/UK.,2026-09-15
S10,Synchroteam,https://www.synchroteam.com/pricing.php,Current page,VERIFIED features; price UNKNOWN,"Per-user monthly/annual model and free first admin with paid mobile worker; indexed price toggles ambiguous, exact prices not used.",2026-09-15
S11,Dashdoc,https://www.dashdoc.com/en,Current page,STRONG SIGNAL / official indexed excerpt,"TMS includes dispatch, invoicing and tracking; official content lists POD/eCMR. Does not prove unmet demand.",2026-09-15
S12,Track-POD,https://www.track-pod.com/pricing-delivery-app/,Current page,VERIFIED / FACT,"Advanced USD49 annual equivalent or59 monthly per driver, min3; task plan USD285 per1500 orders. Direct competition to generic POD.",2026-09-15
S13,Procore,https://www.procore.com/pricing,Current page,STRONG SIGNAL / official indexed excerpt,Custom pricing depends on products and construction volume. Numerical quotes UNKNOWN.,2026-09-15
S14,Knowify,https://knowify.com/knowify-vs-jobtread/,Current page,STRONG SIGNAL / official indexed excerpt,Core USD99 monthly equivalent annually or149 monthly; confirm pricing page before buying. Supports contract billing and jobs.,2026-09-15
S15,Conexiom,https://conexiom.com/blog/ai-order-automation,2026-06-16,STRONG SIGNAL / vendor-described capability,"AI captures emailed orders and checks ERP data. Economic improvements are vendor claims, not assumed outcomes for new product.",2026-09-15
S16,Loopio,https://loopio.com/pricing/,Current page,STRONG SIGNAL / official indexed excerpt,Foundations tier includes10 seats. Current price UNKNOWN; do not repeat third-party USD20k quote as fact.,2026-09-15
S17,AutoRFP.ai,https://autorfp.ai/pricing,Current page,VERIFIED / FACT,USD899/month paid yearly for24 projects/year; USD1299 for50; unlimited users. Minimum12 months after30-day qualifying money-back period.,2026-09-15
S18,Productive,https://productive.io/pricing/,Current page,VERIFIED features; price UNKNOWN,"Budgeting, time tracking, margin reporting, integrations and AI available. Crawled totals/toggles inconsistent; numeric price DATA NOT VERIFIED.",2026-09-15
S19,DabaDoc,https://www.dabadoc.com/ma,Current page,STRONG SIGNAL / official indexed excerpt,Moroccan booking and doctor agenda competitor. Clinician plan prices and free-plan scope UNKNOWN.,2026-09-15
S20,Cliniko,https://www.cliniko.com/pricing/,Current page,VERIFIED features; price UNKNOWN,30-day trial; annual billing gives one month free; optional SMS extra. Pricing grid not captured reliably; numeric plan price UNKNOWN.,2026-09-15
S21,Eduka,https://www.edukasoftware.com/pricing-and-plans/,Current page,VERIFIED features; indexed price conditional,"Finance, family records and optional regional payments available; official index says Express free up to100 pupils, paid from EUR34. Finance module inclusion/quote must be confirmed.",2026-09-15
S22,E-Schools and Minassa,https://e-schools.ma/en,Current page,STRONG SIGNAL / official indexed excerpt,Local Moroccan school administration/billing competitors; E-Schools advertises Massar sync. Prices and actual customer satisfaction UNKNOWN. Minassa: https://minassa.ma/,2026-09-15
S23,MaintainX,https://www.getmaintainx.com/pricing,Current page,VERIFIED / FACT,"Free Basic; Essential USD25 monthly/20 annual; Premium75/65 per user; advanced parts, API and AI already present. Vendor says average one-site implementation3 weeks.",2026-09-15
S24,Capterra MaintainX,https://www.capterra.com/p/179296/GetMaintainx/,Indexed 2026-09,STRONG SIGNAL / selected review summary,Indexed praise for mobile/photo updates and occasional connectivity complaints. Not a representative survey; no rating/count asserted.,2026-09-15
S25,Moroccan tourism ministry,https://mtaess.gov.ma/fr/tourisme-le-maroc-atteint-un-seuil-historique-de-pres-de-20-millions-de-touristes-en-2025/,2026-01-09,STRONG SIGNAL / official indexed release,"19.8m tourist arrivals in2025, +14%. Macro demand, not SaaS budget or property count.",2026-09-15
S26,Research limitation,https://www.g2.com/,2026-09-15,UNKNOWN,"Broad-category scan uses analyst knowledge of incumbents, not verified category growth or TAM. No paid search-volume, ad-library or SEO subscription data available.",2026-09-15
S27,ChartMogul,https://chartmogul.com/reports/saas-retention-the-ai-churn-wave/,2025-12-10,VERIFIED study results; sample-dependent,"Approximately3500 companies; >=USD250k ARR subset; AI-native median GRR40% and NRR48%, B2B median NRR82%. Observational selected sample, not a forecast for these ideas.",2026-09-15
S28,French government e-invoicing,https://www.economie.gouv.fr/tout-savoir-sur-la-facturation-electronique-pour-les-entreprises,Current page,VERIFIED / FACT,"Reception requirement Sept1 2026; SME/micro issuance Sept1 2027, scope-specific. Integrate approved platform; do not claim our overlay is one.",2026-09-15
S29,EU Commission CBAM,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism/cbam-definitive-regime_en,Current page,STRONG SIGNAL / official indexed excerpt,Definitive regime Jan1 2026; mass threshold50t and scope exclusions require checking by product/importer. Not all Moroccan exporters affected.,2026-09-15
S30,WhatsApp pricing,https://whatsappbusiness.com/products/platform-pricing/,Current page,STRONG SIGNAL / official indexed excerpt,Per-delivered-message pricing; country/category/BSP fees vary. No unlimited-message gross margin assumed.,2026-09-15
S31,G2 Chaser,https://www.g2.com/products/chaser/reviews?qs=pros-and-cons,Current index,STRONG SIGNAL / review summary,Indexed praise for reminders and cash-flow automation. Do not confuse AR Chaser with trychaser Slack task product.,2026-09-15
S32,ANRT,https://www.anrt.ma/sites/default/files/2025-10/Synth%C3%A8se-Brochure_Fr.pdf,2024–2025 survey,STRONG SIGNAL / official indexed source,Household TIC adoption context only. No inference that SME software budgets or card subscription willingness are high.,2026-09-15
S33,Stripe availability,https://stripe.com/global,Current page,UNKNOWN in this extraction,Country grid not captured reliably; secondary sources say Morocco unsupported. Confirm legal-entity eligibility with provider; no assumed native Stripe account.,2026-09-15
S34,Moroccan payment observatory,https://www.finances.gov.ma/fr/Pages/odp-publications.aspx,Current page,UNKNOWN underlying statistics,Publication landing page found but full text not retrieved. No numerical Moroccan overdue balance claimed.,2026-09-15
S35,Upflow product page,https://www.upflow.io/,Current page,VERIFIED vendor-described features,"AR insights, collection agents, portal submission, cash matching and exception workflows already offered; page advertises free AR analytics. Vendor outcome percentages not treated as independent evidence.",2026-09-15
S36,LeanPay product page,https://www.leanpay.io/,Current page,VERIFIED vendor-described features,"Dispute classification, disputed-invoice exclusion, action history, resolution on payment and accounting synchronization already offered. French + disputes is NOT a unique wedge. Testimonials not representative proof.",2026-09-15
