Opportunity ID,Rank,SaaS Category,Example Product,Target Customer,Market,Demand Signal,Growth Signal,Pain,WTP,Recurring Revenue,B2B Potential,High-Ticket Potential,Google Ads Potential,Meta Ads Potential,LinkedIn Potential,SEO Potential,Outbound Potential,Competition,Entry Difficulty,International Scalability,Overall Score,Why Attractive,Main Risk
SAAS-001,1,Accounts receivable,Encaisse Desk,Industrial distributors; 10–75 staff; 200+ credit invoices/month,Morocco → Global,Category spending/capability proxy [S01;S02;S06;S07;S08;S35;S36]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,"Disputed invoices, missing delivery documents and broken payment promises delay cash",HYPOTHESIS: 8/10,HYPOTHESIS: Monthly or annual subscription,9,8,7,3,4,7,8,5,8,8,80.6,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,Incumbents already handle disputes and exceptions; local workflow advantage must beat a configured incumbent. No WhatsApp dependency
SAAS-005,2,Wholesale order operations,Order Intake Desk,Industrial-parts wholesalers; 20–150 staff; 1000+ orders/month,Morocco → Global,Category spending/capability proxy [S15;S08]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,Email and PDF orders rekeyed with SKU and unit errors,HYPOTHESIS: 9/10,HYPOTHESIS: Monthly or annual subscription,9,9,6,2,6,6,8,5,5,9,80.5,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,ERP integration and unit-of-measure errors; higher MVP cost
SAAS-003,3,Logistics and transport,POD Close,Road carriers; 10–75 vehicles; dispatcher plus billing clerk,Morocco → Global,Category spending/capability proxy [S11;S12]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,Missing PODs prevent accepted invoices,HYPOTHESIS: 8/10,HYPOTHESIS: Monthly or annual subscription,9,8,6,3,5,6,8,6,6,8,79.4,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,TMS vendors already bundle POD and invoicing
SAAS-002,4,Field services,Intervention Cash,Commercial HVAC contractors; 5–30 technicians; recurring service contracts,Morocco → Global,Category spending/capability proxy [S09;S10]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,Completed jobs lack signed evidence and remain unbilled,HYPOTHESIS: 8/10,HYPOTHESIS: Monthly or annual subscription,9,7,8,6,3,7,7,6,7,8,79.1,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,Mobile adoption and strong localized field-service competition
SAAS-004,5,Construction,Variation Proof,MEP subcontractors; 10–100 staff; 3+ simultaneous projects,Global,Category spending/capability proxy [S13;S14]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,Unapproved variations and weak evidence cause margin leakage,HYPOTHESIS: 8/10,HYPOTHESIS: Monthly or annual subscription,9,9,8,5,5,8,8,6,7,8,78.8,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,Contract-specific approval and adversarial buyer incentives
SAAS-006,6,RFP and bid management,Bid Evidence,Engineering/IT suppliers; 20–150 staff; 2+ bids/month,Global,Category spending/capability proxy [S16;S17]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,Repeated questionnaires consume senior staff time,HYPOTHESIS: 8/10,HYPOTHESIS: Monthly or annual subscription,9,9,7,2,6,7,8,5,7,9,76.0,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,AI drafting already common; irregular tender frequency
SAAS-007,7,Agency professional services,Margin Guard,Retainer agencies; 10–50 staff; 15+ active retainers,Global,Category spending/capability proxy [S18]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,Scope creep hides loss-making accounts,HYPOTHESIS: 7/10,HYPOTHESIS: Monthly or annual subscription,9,6,7,5,4,7,8,5,8,9,75.3,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,Productive and Scoro already offer profitability reporting
SAAS-009,8,Private school finance,Frais Clairs,Private schools; 300–1500 pupils; dedicated bursar,Morocco → Africa,Category spending/capability proxy [S21;S22]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,"Cash, transfers and sibling payments fail to reconcile",HYPOTHESIS: 7/10,HYPOTHESIS: Monthly or annual subscription,9,7,6,5,3,6,6,5,7,6,75.1,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,Local competitors; annual sales windows; children data
SAAS-008,9,Healthcare administration,Slot Refill,Physiotherapy/dental groups; 3–15 practitioners; 500+ appointments/month,Morocco → Global,Category spending/capability proxy [S19;S20;S03;S04]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,Cancellations and missed confirmations waste bookable capacity,HYPOTHESIS: 7/10,HYPOTHESIS: Monthly or annual subscription,9,6,8,7,2,7,6,5,8,7,74.7,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,Sensitive data even without clinical notes; bundled scheduling
SAAS-010,10,Manufacturing CMMS,Maintenance Evidence,Food processors; 30–150 staff; 1–3 sites,Global,Category spending/capability proxy [S23;S24]; exact niche WTP UNKNOWN,UNKNOWN niche growth; no invented CAGR,Missed inspections and repairs create downtime and poor evidence,HYPOTHESIS: 8/10,HYPOTHESIS: Monthly or annual subscription,9,8,6,2,5,6,7,4,6,8,74.6,HYPOTHESIS: Frequent workflow with identifiable owner; test incremental value over incumbent,Excellent incumbents; implementation-heavy; no downtime guarantees
