Opportunity ID,ARPU USD /month,CAC USD,Gross Margin %,Monthly Logo Churn %,Annual Logo Retention %,LTV GP USD Uncapped,LTV GP USD 24-Month Cap,LTV:CAC Capped,Payback Months,Qualified Demo-to-Paid %,Activated Trial-to-Paid %,Evidence
SAAS-001,244–524,400–1400,75–85,1.0–2.5,73.8–88.6,7329–44497,4397–10679,3.1–26.7,0.9–7.6,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
SAAS-002,209–448,500–1800,70–85,1.0–2.5,73.8–88.6,5860–38122,3516–9149,2.0–18.3,1.3–12.3,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
SAAS-003,419–898,900–3000,70–85,0.8–2.0,78.5–90.8,14675–95466,7044–18329,2.3–20.4,1.2–10.2,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
SAAS-004,419–898,800–3000,75–88,1.0–2.5,73.8–88.6,12579–79068,7547–18976,2.5–23.7,1.0–9.5,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
SAAS-005,699–1498,1500–5000,60–80,0.7–2.0,78.5–91.9,20979–171257,10070–28771,2.0–19.2,1.3–11.9,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
SAAS-006,559–1198,1000–4000,65–85,1.0–3.0,69.4–88.6,12118–101872,8725–24449,2.2–24.4,1.0–11.0,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
SAAS-007,174–374,300–1200,80–90,1.5–4.0,61.3–83.4,3486–22410,3347–8068,2.8–26.9,0.9–8.6,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
SAAS-008,174–374,350–1500,65–82,1.5–3.5,65.2–83.4,3237–20418,2719–7350,1.8–21.0,1.1–13.2,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
SAAS-009,279–598,600–2400,65–82,0.5–1.5,83.4–94.2,12103–98154,4357–11778,1.8–19.6,1.2–13.2,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
SAAS-010,489–1048,1200–4000,70–85,0.7–2.0,78.5–91.9,17125–127318,8220–21389,2.1–17.8,1.3–11.7,"10–25 (assumption, qualified demos)","15–35 (assumption, activated assisted trials)","ALL ASSUMPTIONS; international ICP, not Morocco-specific; conservative/favorable joint endpoints, not measured probability intervals. Uncapped LTV unreliable before cohorts mature."
