Opportunity ID,10-Minute Value Test,Advanced Features,Technical Complexity /10,AI Complexity /10,Integration Complexity /10,Regulatory Complexity /10,Operational Complexity /10,Support Complexity /10,MVP Difficulty /10,Time to MVP,Retention Mechanism,Expansion,Proof Required,Confidence
SAAS-001,Upload30 redacted overdue invoices; show balances lacking evidence and next actions in10min; cash impact needs30–60days,Multi-entity reporting; accountant portal; dispute taxonomy,5,3,6,5,5,5,5,6–8 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Multi-entity reporting; accountant portal; dispute taxonomy,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-002,Complete one sample job on phone; signed report and invoice-ready pack appear in10min,Offline sync; renewal scheduling; customer portal,6,3,5,4,6,7,6,8–10 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Offline sync; renewal scheduling; customer portal,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-003,Match10 sample deliveries; identify delivered-but-unbillable loads in10min,Shipper-specific evidence rules; billing SLA analytics,6,5,7,5,6,6,7,8–12 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Shipper-specific evidence rules; billing SLA analytics,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-004,Turn one unapproved variation into an approval-ready pack in10min; recovery not proven,Contract template library; approval escalation; multi-project margin,5,4,5,6,5,6,6,6–10 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Contract template library; approval escalation; multi-project margin,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-005,Process10 redacted POs against SKU list; measure corrected minutes/order and unit errors,Customer-specific dictionaries; ERP read-only validation; exception analytics,7,7,8,4,7,7,8,10–12 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Customer-specific dictionaries; ERP read-only validation; exception analytics,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-006,Answer10 questions with sources; show unknowns instead of invented credentials,Clause owners; expiry dates; multilingual response library,6,7,5,6,5,5,6,6–10 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Clause owners; expiry dates; multilingual response library,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-007,Import last-month time and budgets; identify3 over-serviced retainers in10min,Scope agreement comparison; resource forecast; client approval,4,4,5,3,4,4,4,4–6 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Scope agreement comparison; resource forecast; client approval,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-008,Cancel one test slot and refill with a consenting test contact in10min; attendance ROI needs4weeks,Multi-location waitlist; demand-time analytics; audit exports,5,3,6,8,6,7,6,6–8 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Multi-location waitlist; demand-time analytics; audit exports,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-009,Match20 anonymized receipts and surface duplicates/unmatched families in10min,Multi-campus controls; local licensed PSP; accountant dashboard,5,4,6,7,6,7,6,8–10 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Multi-campus controls; local licensed PSP; accountant dashboard,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-010,Run one asset inspection and generate an exception/action report in10min; avoided downtime not immediately demonstrable,Spare parts; site comparisons; ERP interface,6,4,6,6,7,7,7,8–12 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Spare parts; site comparisons; ERP interface,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-011,Log leak; assign; generate owner approval in10min,Supplier SLA; resident portal; recurring maintenance,5,4,5,5,6,7,5,6–8 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Supplier SLA; resident portal; recurring maintenance,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-012,Create a bilingual group quote from sample request in10min,Room-block approvals; itinerary builder; PMS connector,4,5,6,4,6,6,5,4–8 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Room-block approvals; itinerary builder; PMS connector,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-013,Show missing evidence for one sample client in10min,Tenant-isolated connector jobs; policy templates; security review,7,5,8,7,6,6,8,10–12 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Tenant-isolated connector jobs; policy templates; security review,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-014,Route sample purchase and flag duplicate invoice in10min,Delegated limits; budget checks; vendor risk docs,6,5,7,6,6,6,7,8–12 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Delegated limits; budget checks; vendor risk docs,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
SAAS-015,Approve one sample timesheet and catch rate mismatch in10min,Multi-client rate cards; credit notes; audit controls,6,5,7,6,6,6,7,8–10 weeks,Recurring new exceptions; history and ownership; not contractual lock-in,Multi-client rate cards; credit notes; audit controls,3 unrelated paid pilots;30–60day workflow usage and incremental ROI; buyer authority verified,Medium category pain; low wedge/WTP; very low CAC/retention. Complexity here:10=hard.
