Opportunity ID,Scenario,Month,Customers,New Customers,Churned Customers,ARPU,MRR,ARR,CAC,Acquisition Cost,Product Costs,Team Costs,Marketing Costs,Other Costs,Total Costs,Gross Profit,Net Profit
SAAS-001,Conservative,1,0.0,0,0.0,200,0.0,0.0,1000,0,150.0,2500,100,300,3050.0,-150.0,-3050.0
SAAS-001,Conservative,2,0.0,0,0.0,200,0.0,0.0,1000,0,150.0,2500,100,300,3050.0,-150.0,-3050.0
SAAS-001,Conservative,3,1.0,1,0.0,200,200.0,2400.0,1000,1000,206.0,2500,100,300,4106.0,-6.0,-3906.0
SAAS-001,Conservative,4,1.98,1,0.03,200,395.0,4740.0,1000,1000,260.6,2500,100,300,4160.6,134.4,-3765.6
SAAS-001,Conservative,5,2.93,1,0.05,200,585.12,7021.5,1000,1000,313.84,2500,100,300,4213.84,271.29,-3628.71
SAAS-001,Conservative,6,4.85,2,0.07,200,970.5,11645.96,1000,2000,421.74,2500,100,300,5321.74,548.76,-4351.24
SAAS-001,Conservative,7,6.73,2,0.12,200,1346.23,16154.81,1000,2000,526.95,3500,100,300,6426.95,819.29,-5080.71
SAAS-001,Conservative,8,8.56,2,0.17,200,1712.58,20550.94,1000,2000,629.52,3500,100,300,6529.52,1083.06,-4816.94
SAAS-001,Conservative,9,10.35,2,0.21,200,2069.76,24837.17,1000,2000,729.53,3500,100,300,6629.53,1340.23,-4559.77
SAAS-001,Conservative,10,13.09,3,0.26,200,2618.02,31416.24,1000,3000,883.05,3500,100,300,7783.05,1734.97,-5165.03
SAAS-001,Conservative,11,15.76,3,0.33,200,3152.57,37830.83,1000,3000,1032.72,3500,100,300,7932.72,2119.85,-4780.15
SAAS-001,Conservative,12,18.37,3,0.39,200,3673.76,44085.06,1000,3000,1178.65,3500,100,300,8078.65,2495.1,-4404.9
SAAS-001,Conservative,13,20.91,3,0.46,200,4181.91,50182.94,1000,3000,1320.94,5000,100,300,9720.94,2860.98,-5539.02
SAAS-001,Conservative,14,23.39,3,0.52,200,4677.36,56128.36,1000,3000,1459.66,5000,100,300,9859.66,3217.7,-5182.3
SAAS-001,Conservative,15,25.8,3,0.58,200,5160.43,61925.15,1000,3000,1594.92,5000,100,300,9994.92,3565.51,-4834.49
SAAS-001,Conservative,16,28.16,3,0.65,200,5631.42,67577.03,1000,3000,1726.8,5000,100,300,10126.8,3904.62,-4495.38
SAAS-001,Conservative,17,30.45,3,0.7,200,6090.63,73087.6,1000,3000,1855.38,5000,100,300,10255.38,4235.26,-4164.74
SAAS-001,Conservative,18,32.69,3,0.76,200,6538.37,78460.41,1000,3000,1980.74,5000,100,300,10380.74,4557.62,-3842.38
SAAS-001,Conservative,19,34.87,3,0.82,200,6974.91,83698.9,1000,3000,2102.97,5000,100,300,10502.97,4871.93,-3528.07
SAAS-001,Conservative,20,37.0,3,0.87,200,7400.54,88806.43,1000,3000,2222.15,5000,100,300,10622.15,5178.39,-3221.61
SAAS-001,Conservative,21,39.08,3,0.93,200,7815.52,93786.27,1000,3000,2338.35,5000,100,300,10738.35,5477.18,-2922.82
SAAS-001,Conservative,22,41.1,3,0.98,200,8220.13,98641.61,1000,3000,2451.64,5000,100,300,10851.64,5768.5,-2631.5
SAAS-001,Conservative,23,43.07,3,1.03,200,8614.63,103375.57,1000,3000,2562.1,5000,100,300,10962.1,6052.53,-2347.47
SAAS-001,Conservative,24,45.0,3,1.08,200,8999.27,107991.18,1000,3000,2669.79,5000,100,300,11069.79,6329.47,-2070.53
SAAS-001,Base,1,0.0,0,0.0,250,0.0,0.0,800,0,150.0,3000,300,500,3950.0,-150.0,-3950.0
SAAS-001,Base,2,2.0,2,0.0,250,500.0,6000.0,800,1600,240.0,3000,300,500,5640.0,260.0,-5140.0
SAAS-001,Base,3,4.97,3,0.03,250,1242.5,14910.0,800,2400,373.65,3000,300,500,6573.65,868.85,-5331.15
SAAS-001,Base,4,8.9,4,0.07,250,2223.86,26686.35,800,3200,550.3,4500,300,500,9050.3,1673.57,-6826.43
SAAS-001,Base,5,13.76,5,0.13,250,3440.5,41286.05,800,4000,769.29,4500,300,500,10069.29,2671.21,-6628.79
SAAS-001,Base,6,19.56,6,0.21,250,4888.9,58666.76,800,4800,1030.0,4500,300,500,11130.0,3858.9,-6241.1
